time-copy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014-05-27,,,,,,,,,,,,,,,,,,,,,,,30.6938461538,31.1846153846
2014-05-28,32.403076923,33.6461538461,33.1784615384,32.7784615384,32.7569230769,31.3123076923,29.8938461538,28.4553846153,26.6969230769,26.0476923077,27.0123076923,26.3492307692,26.7984615384,26.7523076923,26.9569230769,27.5707692307,27.7107692307,27.9107692307,28.4461538461,27.3907692307,27.5692307692,28.0507692307,28.4,29.4123076923
2014-05-29,28.32,28.0092307692,30.1784615384,30.5538461538,31.6061538461,30.8538461538,30.0923076923,26.9369230769,25.2646153846,23.8169230769,22.763076923,24.5184615384,23.5676923077,23.32,23.6184615384,22.7446153846,22.2461538461,22.7538461538,24.1215384615,26.18,26.9307692307,26.6861538461,29.7615384615,29.0523076923
2014-05-30,30.9723076923,30.5723076923,30.4953846153,30.4292307692,31.1169230769,30.8446153846,29.1276923077,26.4338461538,24.7984615384,22.5584615384,24.8415384615,25.1707692307,25.1061538461,25.0323076923,22.82,22.0569230769,23.9969230769,22.9123076923,24.4276923077,26.3492307692,27.56,28.0938461538,28.8538461538,29.3661538461
2014-05-31,30.2492307692,30.3046153846,30.52,30.1476923077,30.9353846153,28.6307692307,27.963076923,26.2692307692,24.2861538461,22.7523076923,21.4892307692,,20.06,21.8676923077,24.1646153846,21.0107692307,21.5907692307,20.043076923,22.0,24.1784615384,24.9507692307,25.5692307692,26.92,26.6523076923
2014-06-01,27.0184615384,27.4353846153,27.9569230769,28.6892307692,28.7846153846,28.7753846153,26.7461538461,26.1446153846,23.4584615384,21.6369230769,21.2338461538,19.7953846153,19.5169230769,19.8692307692,20.3923076923,20.1723076923,20.3907692307,20.4615384615,22.3461538461,24.0076923077,25.7292307692,27.0769230769,27.0307692307,28.2615384615
2014-06-02,27.4153846153,27.8061538461,28.2646153846,27.6692307692,28.7261538461,28.6784615384,27.1707692307,24.2753846153,22.6123076923,21.6707692307,21.0415384615,20.3492307692,19.5107692307,19.94,,20.5707692307,20.6923076923,22.12,23.4369230769,24.6846153846,25.76,26.8276923077,28.5446153846,28.6384615384
2014-06-03,29.2461538461,30.2153846153,29.5015384615,30.3261538461,29.6953846153,29.2153846153,28.0153846153,26.66,24.7461538461,23.6076923077,24.5384615384,23.2338461538,22.5923076923,22.5092307692,22.3323076923,22.0553846153,23.0476923076,22.8769230769,24.5446153846,25.183076923,25.5292307692,27.0123076923,27.2446153846,27.4738461538
2014-06-04,27.7569230769,28.3661538461,28.6876923076,28.5815384615,28.9953846153,28.2323076923,28.9661538461,26.283076923,26.0692307692,26.6661538461,25.0015384615,24.3569230769,24.52,24.6215384615,24.3815384615,25.0753846153,25.5384615384,26.38,26.0107692307,27.3492307692,28.3661538461,29.2969230769,30.8984615384,32.1661538461
2014-06-05,32.0984615384,31.7923076923,30.9369230769,31.2061538461,32.1323076923,31.3061538461,29.6723076923,27.8384615384,26.0769230769,24.6307692307,23.4292307692,21.8553846153,21.4969230769,19.6,18.7476923077,17.4523076923,17.2569230769,17.6538461538,18.3969230769,19.6169230769,20.8015384615,22.0261538461,23.6584615384,23.3092307692
2014-06-06,24.1276923076,24.5261538461,24.563076923,24.7953846153,25.0061538461,25.4061538461,24.4692307692,22.3953846153,20.9584615384,20.1092307692,17.6415384615,16.24,15.0092307692,14.1553846153,12.7092307692,14.08,14.1876923076,14.7476923076,16.2661538461,17.4923076923,21.2138461538,23.9615384615,23.6969230769,24.0584615384
2014-06-07,24.0338461538,24.2307692307,24.6369230769,25.2246153846,24.9815384615,25.7215384615,24.5015384615,24.3415384615,23.4184615384,21.6938461538,19.7338461538,17.58,16.66,15.9461538461,15.0707692307,14.4369230769,15.2723076923,15.5476923076,18.58,21.003076923,23.9184615384,27.3261538461,26.4323076923,25.6046153846
2014-06-08,25.2523076923,26.7323076923,26.1753846153,25.7153846153,25.9553846153,27.0707692307,24.6615384615,23.1523076923,20.903076923,19.0353846153,17.2923076923,16.4738461538,15.5815384615,14.763076923,13.4553846153,13.763076923,13.3969230769,15.3584615384,17.063076923,19.38,20.8753846153,22.1323076923,23.4861538461,24.1292307692
2014-06-09,24.683076923,25.6461538461,25.083076923,25.7815384615,27.243076923,27.96,26.6984615384,25.1907692307,23.7507692307,22.0184615384,20.5046153846,17.9892307692,17.1461538461,15.6215384615,15.4723076923,14.7123076923,16.8153846153,20.1661538461,23.0923076923,26.5476923076,27.3753846153,27.0153846153,27.723076923,27.843076923
2014-06-10,29.2676923076,28.48,28.4738461538,29.403076923,30.003076923,28.7323076923,28.7153846153,28.2923076923,27.2953846153,25.56,23.4046153846,23.3138461538,22.4015384615,21.083076923,20.7615384615,21.2984615384,21.1846153846,22.4215384615,24.0753846153,25.6307692307,26.3261538461,28.1507692307,28.6738461538,28.8153846153
2014-06-11,28.683076923,28.7446153846,29.8876923076,28.7123076923,28.9815384615,29.1338461538,28.28,26.2661538461,26.1353846153,26.9015384615,26.0,25.8938461538,23.3892307692,21.7969230769,20.303076923,19.3153846153,20.0784615384,19.3876923076,20.9169230769,21.4353846153,23.7153846153,24.6446153846,26.323076923,26.8492307692
2014-06-12,,28.063076923,28.363076923,27.3015384615,28.843076923,28.9646153846,26.98,25.3969230769,23.5138461538,22.0523076923,19.98,19.3738461538,18.7123076923,17.9723076923,17.7707692307,17.3369230769,17.2123076923,18.2723076923,19.1861538461,20.6676923076,22.82,,,
2014-06-13,,,,,28.5892307692,28.9261538461,27.6292307692,25.9276923076,24.1523076923,22.7307692307,,20.9923076923,20.7769230769,20.2569230769,19.48,20.6092307692,21.203076923,21.4323076923,23.4169230769,25.4292307692,27.6138461538,28.4984615384,30.6123076923,31.7784615384
2014-06-14,31.6276923076,31.823076923,32.1784615384,32.5707692307,33.6,32.3184615384,31.6261538461,30.4723076923,27.2907692307,26.1261538461,26.3169230769,26.0707692307,25.3923076923,24.883076923,25.3015384615,24.9399999999,24.8476923076,25.3569230769,26.943076923,27.8692307692,30.0507692307,31.3476923076,31.6246153846,31.6476923076
2014-06-15,31.9261538461,32.3507692307,32.7707692307,33.7338461538,34.4507692307,34.3,33.863076923,32.8815384615,31.9923076923,30.1461538461,29.5415384615,28.9892307692,28.4584615384,28.3815384615,28.0999999999,27.4753846153,27.523076923,27.4307692307,28.6338461538,,29.6153846153,30.7584615384,32.5338461538,32.523076923
2014-06-16,32.8046153846,33.3738461538,34.6646153846,34.7246153846,35.5738461538,35.0507692307,34.6661538461,33.8907692307,33.1492307692,31.0938461538,28.9461538461,26.9246153846,27.1876923076,27.0399999999,25.8215384615,25.8492307692,25.6984615384,25.6646153846,25.8569230769,27.7123076923,29.3861538461,30.9076923076,31.5338461538,31.963076923
2014-06-17,32.5199999999,33.4307692307,34.2923076923,35.8553846153,36.1169230769,36.0446153846,34.2815384615,34.1015384615,32.5338461538,31.8353846153,30.2123076923,29.7092307692,28.3969230769,28.0369230769,,27.6292307692,27.4276923076,27.7153846153,28.4692307692,29.7523076923,31.3907692307,32.7092307692,33.4969230769,34.9738461538
2014-06-18,35.8323076923,36.1046153846,37.0323076923,36.9753846153,37.2138461538,36.4107692307,35.6938461538,33.6907692307,32.4523076923,30.7984615384,30.8153846153,30.3184615384,29.6661538461,28.3153846153,27.3599999999,27.5138461538,26.4676923076,27.4676923076,28.0784615384,29.6984615384,31.2138461538,32.3584615384,32.5292307692,32.5969230769
2014-06-19,33.5907692307,35.6846153846,35.5815384615,36.4784615384,35.4969230769,35.2907692307,33.643076923,32.2907692307,30.9338461538,28.6538461538,27.6046153846,27.2615384615,26.0738461538,25.103076923,24.1615384615,24.1199999999,23.7876923076,23.7599999999,24.4846153846,25.2661538461,26.8753846153,29.6507692307,28.923076923,31.3676923076
2014-06-20,32.8723076923,33.1061538461,34.4138461538,34.7046153846,35.923076923,33.8723076923,32.5861538461,30.6015384615,28.6415384615,26.6907692307,25.7123076923,23.9492307692,23.0584615384,22.4307692307,22.2399999999,21.2707692307,21.3046153846,22.683076923,23.0046153846,23.5707692307,25.6107692307,26.6846153846,28.2292307692,28.8984615384
2014-06-21,29.2953846153,30.0692307692,30.3799999999,31.8199999999,31.7723076923,31.5969230769,31.4784615384,30.9123076923,30.3338461538,28.2753846153,26.523076923,27.3384615384,24.8276923076,22.8738461538,21.9199999999,21.9999999999,22.8892307692,24.0369230769,24.3861538461,26.4292307692,27.0538461538,28.0199999999,27.9753846153,28.4215384615
2014-06-22,29.4246153846,30.2307692307,29.6892307692,30.803076923,31.3569230769,31.4215384615,31.2646153846,31.5215384615,30.3046153846,28.9953846153,26.6353846153,25.3969230769,24.9999999999,24.9353846153,24.5815384615,26.563076923,27.4892307692,28.0599999999,28.8692307692,29.7769230769,30.7138461538,31.6707692307,32.9846153846,32.8892307692
2014-06-23,34.1292307692,34.3815384615,35.8353846153,34.1399999999,34.8061538461,35.4369230769,34.6246153846,35.2569230769,32.2907692307,30.1492307692,30.0523076923,29.9153846153,28.6476923076,27.6476923076,27.903076923,27.5191608391,27.6656410256,28.3164102564,29.1774358974,30.014102564,30.9038461538,31.0048717948,31.9007692307,32.5546153846
2014-06-24,33.5373426573,33.7053846153,34.6264102564,35.7076923076,36.1776923076,34.9815384615,34.824102564,33.4861538461,32.4897435897,31.652051282,29.3392307692,28.9182051282,27.9725641025,27.053076923,26.9861538461,26.4569230769,26.5215384615,27.3605128205,28.4389743589,29.4458974358,31.6471794871,33.3917948717,33.7989743589,34.8876923076
2014-06-25,34.6889510489,35.1223076923,35.6897435897,36.0971794871,36.5294871794,35.0002564102,34.4066666666,32.5605128205,30.4005128205,28.3476923076,26.1861538461,26.2048717948,25.8514685314,25.414102564,25.9456410256,25.7289743589,27.0974358974,27.0228205128,28.8597435897,29.9138461538,32.6448717948,33.8102564102,35.0666666666,35.7535897435
2014-06-26,35.7079720279,34.6076923076,35.7423076923,35.6225641025,36.782051282,36.191025641,34.4689743589,33.5333333333,32.4351282051,31.6007692307,32.0453846153,31.0958974358,30.4592307692,30.5374358974,29.9723076923,30.0427972027,29.9266666666,31.1061538461,31.7433333333,32.7458974358,34.8699999999,35.083076923,36.4638461538,37.0215384615
2014-06-27,37.8293706293,37.9584615384,38.2458974358,38.6184615384,38.6046153846,38.7425641025,37.8892307692,35.4392307692,34.503076923,33.0587179487,31.0889743589,29.2869230769,27.6923076923,16.1589743589,23.45,27.7484615384,28.2661538461,29.1225641025,30.8576923076,31.5382051282,32.4879487179,33.5971794871,35.053076923,35.102051282
2014-06-28,35.9857342657,36.5094871794,35.942051282,36.5548717948,36.8382051282,36.8315384615,36.5323076923,35.1228205128,34.1174358974,33.7107692307,32.4487179487,31.0671794871,34.3025641025,32.9684615384,33.2517948717,34.6997435897,37.4046153846,38.2671794871,39.8361538461,41.2192307692,41.6423076922,42.4576923076,43.5892307692,44.5002564102
2014-06-29,43.9758041957,44.0102564102,44.5512820512,44.4464102564,44.3538461538,43.3717948717,42.5848717948,41.7097435897,40.3738461538,40.9661538461,39.8976923076,40.2325641025,41.0905128205,38.9599999999,37.7417948717,37.2676923076,38.9348717948,38.993076923,39.4469230769,40.584102564,42.1043589743,43.383076923,44.2274358974,45.3064102564
2014-06-30,45.7848951048,45.7902564102,45.7428205128,46.0061538461,45.1661538461,44.8802564102,43.6394871794,42.2956410256,40.9279487179,40.2294871794,40.4066666666,39.8025641025,38.7423076922,37.582051282,36.7961538461,36.3856410256,36.612051282,36.841025641,37.283076923,38.0564102564,38.9469230769,39.5189743589,39.3512820512,39.9425641025
2014-07-01,40.7955244755,40.8594871794,41.9112820512,41.9061538461,41.6453846153,41.8269230769,40.6105128205,39.0266666666,37.4248717948,35.7453846153,34.5871794871,35.1982051281,35.4179487179,36.474102564,36.6566666666,37.0776923076,36.7335897435,37.3887179487,37.5892307692,38.1987179487,39.5717948717,40.1187179487,40.4889743589,41.6033333333
2014-07-02,41.509090909,41.5076923076,42.3376923076,42.3771794871,42.4071794871,42.7994871794,41.8702564102,39.8753846153,38.293076923,36.5866666666,36.0612820512,34.6915384615,33.6179487179,32.8733333333,32.5021538461,33.3092307692,33.3051282051,32.5705128205,33.7797435897,35.0246153846,37.1438461538,38.1712820512,39.6071794871,40.1205128205
2014-07-03,40.8665734265,41.3317948717,42.034102564,41.9917948717,41.9102564102,41.4846153846,39.2046153846,37.3433333333,35.4905128205,33.4627972027,32.2769230769,31.5197435897,31.1153846153,31.6674358974,32.254102564,31.4017948717,30.9282051281,31.4084615384,33.1679487179,33.9133333333,35.0123076922,35.9166666666,37.8651282051,38.2725641025
2014-07-04,38.7654545454,38.9125641025,39.1084615384,39.3564102564,39.9292307692,40.1346153846,39.0558974358,39.1761538461,38.4587179487,35.9705128205,36.7535897435,38.8871794871,36.7969230769,37.0961538461,37.0223076922,,,,,,,,,
