附件3,,,,,,,,,,食用油抽样监测结果汇总表(第三批）                ,,,,,,,,,,,
序号,受检单位,植物油,生产地点,经度,纬度,单位,样品名称,规格型号,样品等级,生产日期(批号),抽样日期,综合判定,抽样地点,报告编号,BHA,BHT,TBHQ,过氧化值,溶剂残留量,酸价(KOH),酸值(KOH)
1,阳光超市鑫域店,植物油,河北,114.52,38.05,市名福植物油有限责任公司,名福花生葵花籽调和油,1.8升/壶,,2014.11.10,3/11/15,合格,世纪大街与联防路交叉口,邯检(S)字(2015)第(L0140)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 5,不得检出 |未检出,,≤1.0 | 0.2
2,蔚庄干调市场为雪大米批发部,植物油,河北,114.52,38.05,顺利植物油有限公司,赵国宴葵花橄榄调和油,5升/桶,,2014.9.8,3/12/15,合格,蔚庄干调市场107国道路东,邯检(S)字(2015)第(L0150)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 2,不得检出 |未检出,,≤1.0 | 0.1
3,二中粮店,植物油,河北,114.52,38.05,鼎康粮油有限公司,满疆红大豆油,5L/桶,一级,2015.2.7,3/12/15,合格,复兴商贸城西楼9号,邯检(S)字(2015)第(L0151)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.6,不得检出 |未检出,,≤0.20 | 0.07
4,隆丰调料,植物油,河北,114.52,38.05,市名福植物油有限责任公司,名福一级大豆油,5升/桶,一级,2014.11.18,3/12/15,合格,复兴商贸城西楼110号,邯检(S)字(2015)第(L0154)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.1,不得检出 |未检出,,≤0.20 | 0.11
5,户兰平,植物油,河北,114.52,38.05,能源邢台矿业集团有限责任公司油脂分公司,宴友花生油,5升/桶,压榨一级,20150210,3/12/15,合格,邯郸市丛台区中华北大街质监局楼下兰平烟酒副食门市,邯检(S)字(2015)第(L0191)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 0.9,不得检出 |未检出,,≤1.0 | 1.0
6,赵玉华,植物油,河北,114.52,38.05,鼎康粮油有限公司,精炼棉籽油,5升/桶,,20141011,3/12/15,合格,邯山区邯山街与劳动路交叉口南行10米路西一点利粮油店,邯检(S)字(2015)第(L0194)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 3.6,≤50 |未检出,,≤1.0 | 0.3
7,美食林千鹤店  ,植物油,河北,114.52,38.05,（石家庄）粮油工业有限公司,金龙鱼特香花生油,5升/桶,一级,2014.11.21,3/11/15,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0136)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 2.3,不得检出 |未检出,,≤1.0 | 1.0
8,美食林千鹤店  ,植物油,天津,117.2,39.12,（天津）粮油工业有限公司,金鼎浓香花生油,5升/桶,一级,2014.11.07,3/11/15,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0137)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 2.2,不得检出 |未检出,,≤1.0 | 1.0
9,美食林千鹤店  ,植物油,山东,116.98,36.67,鲁花浓香花生油有限公司,鲁花5S压榨一级花生油,5升/桶,一级,2015.2.11,3/11/15,合格,联防路与建设大街交口,邯检(S)字(2015)第(L0138)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 3.0,不得检出 |未检出,,≤1.0 | 1.0
10,阳光超市鑫域店  ,植物油,天津,117.2,39.12,粮油（天津）有限公司,金龙鱼食用调和油,2.5升/桶,,11/20/14,3/11/15,合格,世纪大街与联防路交叉口,邯检(S)字(2015)第(L0139)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤0.25 | 0.05,≤50 |未检出,≤3 | 0.2,
11,千鑫美食林,植物油,河北,114.52,38.05,惠典油脂有限公司,花生调和油,5L/桶,,10/19/14,3/11/15,合格,邯山区光明大街与储河路交叉口北行100米路西,邯检(S)字(2015)第(L0175)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 4,不得检出 |未检出,,≤1.0 | 0.1
12,千鑫美食林,植物油,河北,114.52,38.05,惠典油脂有限公司,玉之醇玉米油,5升/桶,,1/3/15,3/11/15,合格,邯山区光明大街与储河路交叉口北行100米路西,邯检(S)字(2015)第(L0176)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 0.5,不得检出 |未检出,,≤0.20 | 0.14
13,阳光超市新世纪店,植物油,天津,117.2,39.12,佳悦（天津）有限公司,一级大豆油,1.8升/桶,一级,2014.12.23,3/12/15,合格,人民路与中华街口,邯检(S)字(2015)第(L0206)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.3,不得检出 |未检出,,≤0.20 | 0.08
14,阳光超市新世纪店,植物油,天津,117.2,39.12,粮油（天津）有限公司,大豆油,1.8升/桶,一级,20150104,3/12/15,合格,人民路与中华街口,邯检(S)字(2015)第(L0207)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 0.7,不得检出 |未检出,,≤0.20 | 0.10
15,阳光超市新世纪店,植物油,湖南,112.93,28.23,米业股份有限公司,一级菜籽油,4.5L/桶,一级,20141128,3/12/15,合格,人民路与中华街口,邯检(S)字(2015)第(L0208)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.9,不得检出 |未检出,,≤0.20 | 0.20
16,隆丰调料,植物油,河北,114.52,38.05,岛金海食品工业有限公司,元宝大豆油,5升/桶,一级,2014.11.27,3/12/15,合格,复兴商贸城西楼110号,邯检(S)字(2015)第(L0152)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 0.3,不得检出 |未检出,,≤0.20 | 0.06
17,诚信粮油商行,植物油,山东,116.98,36.67,渤海科技有限公司,美食客食用调和油,5升/桶,,2014.1.15,3/12/15,合格,蔚庄干调市场1,邯检(S)字(2015)第(L0153)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 3,不得检出 |未检出,,≤1.0 | 0.2
18,二中粮店,植物油,河北,114.52,38.05,协盛粮油贸易有限公司,厨之荣大豆油,1.6升/桶,一级,2014.12.16,3/12/15,合格,复兴商贸城西楼9号,邯检(S)字(2015)第(L0155)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.3,不得检出 |未检出,,≤0.20 | 0.05
19,为雪大米批发部,植物油,四川,104.07,30.67,简阳众信食品有限公司,川师傅菜籽油,4.5L/桶,四级,2015.1.13,3/12/15,合格,蔚庄干调市场107国道路东,邯检(S)字(2015)第(L0156)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 2.2,不得检出 |未检出,,≤3.0 | 1.3
20,户兰平,植物油,山东,116.98,36.67,西王食品有限公司,玉米胚芽油,5升/桶,,1/28/15,3/12/15,合格,邯郸市丛台区中华北大街质监局楼下兰平烟酒副食门市,邯检(S)字(2015)第(L0192)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤0.25 | 0.02,不得检出 |未检出,≤3 | 0.1,
21,贸易粮油商行,植物油,河北,114.52,38.05,市丰康贸易有限公司,花生芝麻调和油（分装）,5升/桶,,3/5/15,3/12/15,合格,邯山区贸易街市场29号,邯检(S)字(2015)第(L0193)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 1,≤50 |未检出,,≤1.0 | 0.1
22,赵玉华,植物油,山东,116.98,36.67,渤海油脂工业有限公司,大豆油,5升/桶,一级,3/17/14,3/12/15,合格,邯山区邯山街与劳动路交叉口南行10米路西一点利粮油店,邯检(S)字(2015)第(L0195)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 2.1,不得检出 |未检出,,≤0.20 | 0.11
23,赵玉华,植物油,河北,114.52,38.05,协盛粮油贸易有限公司,花生芝麻调和油,5升/桶,,2/4/15,3/12/15,合格,邯山区邯山街与劳动路交叉口南行10米路西一点利粮油店,邯检(S)字(2015)第(L0196)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 2,不得检出 |未检出,,≤1.0 | 0.2
24,贸易粮油店,植物油,四川,104.07,30.67,康泰油脂有限责任公司,浓香菜籽油,4.5L/壶,,20141125,3/12/15,合格,邯山区贸易街市场29号,邯检(S)字(2015)第(L0197)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 2.4,不得检出 |未检出,,≤3.0 | 1.7
25,邯郸县滏漳路便利超市,植物油,山东,116.98,36.67,鲁花浓香花生油有限公司,一级花生油,1.8升/桶,,2014.11.18,3/11/15,合格,滏漳路东段路北,邯检(S)字(2015)第(L0187)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 3.5,不得检出 |未检出,,≤1.0 | 1.0
1,美食林滏东店,植物油,河北,114.52,38.05,美临多维粮油贸易有限公司,花生芝麻调和油,5升/桶,,2015.02.28,4/9/15,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0298)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 2,≤50 | 未检出,,≤1.0 | 0.1
2,美食林滏东店,植物油,山东,116.98,36.67,鲁花浓香花生油有限公司,大豆食用调和油,1.6升/桶,,2015.2.13,4/9/15,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0303)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 4,≤50 | 未检出,,≤1.0 | 0.1
3,美食林滏东店,植物油,山东,116.98,36.67,西王食品有限公司,玉米胚芽油,900ml/桶,,2014.5.4,4/9/15,合格,和平路与滏东路交叉口,邯检(S)字(2015)第(L0304)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤0.25 | 0.05,不得检出 | 未检出,≤3 | 0.1,
4,阳光超市前进店,植物油,湖南,112.93,28.23,米业股份有限公司,小榨香菜籽油,4.5升/桶,合格,2014.11.23,4/9/15,合格,阳光超市前进大街,邯检(S)字(2015)第(L0316)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 3.6,不得检出 | 未检出,,≤3.0 | 1.9
5,阳光超市前进店,植物油,天津,117.2,39.12,集团,福临门调和油,5升/桶,合格,2015.03.04,4/9/15,合格,阳光超市前进大街,邯检(S)字(2015)第(L0317)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 2,≤50 | 未检出,,≤1.0 | 0.1
6,阳光超市前进店,植物油,河北,114.52,38.05,粮油（秦皇岛）工业有限公司,非转基因压榨玉米油,5升/桶,一级,2014.10.19,4/9/15,合格,阳光超市前进大街,邯检(S)字(2015)第(L0318)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 0.8,不得检出 | 未检出,,≤0.20 | 0.09
7,阳光超市前进店,植物油,河北,114.52,38.05,市名福植物油有限责任公司,名福一级大豆油,5升/桶,一级,2015.01.31,4/9/15,合格,阳光超市前进大街,邯检(S)字(2015)第(L0319)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.0,不得检出 | 未检出,,≤0.20 | 0.04
8,阳光超市前进店,植物油,天津,117.2,39.12,粮油（天津）有限公司,金龙鱼精炼一级大豆油,2.5升/桶,一级,2015.02.04,4/9/15,合格,阳光超市前进大街,邯检(S)字(2015)第(L0320)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 0.5,不得检出 | 未检出,,≤0.20 | 0.05
9,阳光超市前进店,植物油,天津,117.2,39.12,粮油（天津）有限公司,食用调和油,5升/桶,,2015.03.21,4/9/15,合格,阳光超市前进大街,邯检(S)字(2015)第(L0326)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤0.25 | 0.02,≤50 | 未检出,≤3 | 0.1,
10,滏园粮站,植物油,河北,114.52,38.05,市丰康贸易有限公司,绿兴一级大豆油,5L/桶,一级,2015.3.13,4/10/15,合格,滏漳路农贸市场,邯检(S)字(2015)第(L0337)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.4,不得检出 | 未检出,,≤0.20 | 0.07
11,万宝全杂粮店,植物油,河北,114.52,38.05,鼎康粮油有限公司,满疆红精炼棉籽油,5L/桶,三级,2015.2.28,4/10/15,合格,滏漳路农贸市场,邯检(S)字(2015)第(L0338)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 2.0,≤50 | 未检出,,≤1.0 | 0.3
12,美食林集团（千鹤店）,植物油,天津,117.2,39.12,粮油（天津）有限公司,金龙鱼食用调和油,2.5L/桶,,20150403,4/10/15,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0343)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤0.25 | 0.03,≤50 | 未检出,≤3 | 0.1,
13,美食林集团（千鹤店）,植物油,山东,116.98,36.67,鲁花浓香花生油有限公司,5S压榨一级花生油,1L/桶,一级,20150109,4/10/15,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0344)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤6.0 | 1.4,不得检出 | 未检出,,≤1.0 | 0.2
14,美食林集团（千鹤店）,植物油,河北,114.52,38.05,仓盛兴粮油工贸有限公司,花生芝麻调和油,5L/桶,调和油,20150301,4/10/15,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0345)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 2,≤50 | 未检出,,≤1.0 | 0.3
15,美食林集团（千鹤店）,植物油,天津,117.2,39.12,佳悦（天津）有限公司,五湖一级大豆油,5L/桶,一级,20150402,4/10/15,合格,建设大街与联防路交叉口西北角,邯检(S)字(2015)第(L0346)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.4,不得检出 | 未检出,,≤0.20 | 0.07
16,新赵都超市光明店,植物油,北京,116.4,39.9,中益伟业粮油工贸有限公司,花生芝麻香食用调和油,5L/桶,,2014.8.21,4/13/15,合格,光明路光明桥,邯检(S)字(2015)第(L0357)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 4,不得检出 | 未检出,,≤1.0 | 0.2
17,新赵都超市光明店,植物油,天津,117.2,39.12,粮油（天津）有限公司,大豆油,5L/桶,一级,2014.6.22,4/13/15,合格,光明路光明桥,邯检(S)字(2015)第(L0358)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.2,不得检出 | 未检出,,≤0.20 | 0.08
18,新赵都超市光明店,植物油,山东,116.98,36.67,西王食品有限公司,玉米胚芽油,1升/桶,,2015.1.14,4/13/15,合格,光明路光明桥,邯检(S)字(2015)第(L0359)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤0.25 | 0.02,不得检出 | 未检出,≤3 | 0.1,
19,新赵都超市光明店,植物油,河北,114.52,38.05,仓盛兴粮油工贸有限公司,棉籽油,5L/桶,二级,2015.3.1,4/13/15,合格,光明路光明桥,邯检(S)字(2015)第(L0360)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 1.1,不得检出 | 未检出,,≤0.30 | 0.20
20,新赵都超市光明店,植物油,山东,116.98,36.67,鲁花浓香花生油有限公司,压榨玉米油,1.6升/桶,一级,2015.1.22,4/13/15,合格,光明路光明桥,邯检(S)字(2015)第(L0361)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 0.8,不得检出 | 未检出,,≤0.20 | 0.10
21,新赵都超市光明店,植物油,江苏,118.78,32.07,粮镇江粮油有限公司,一级大豆油,1.8升/桶,一级,2015.1.23,4/13/15,合格,光明路光明桥,邯检(S)字(2015)第(L0362)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 0.5,不得检出 | 未检出,,≤0.20 | 0.08
22,阳光超市鑫域店,植物油,天津,117.2,39.12,集团天津大豆科技有限公司,花生芝麻调和油,5L/桶,,2014 10 23,4/13/15,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0366)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 3,≤50 | 未检出,,≤1.0 | 0.1
23,阳光超市鑫域店,植物油,河北,114.52,38.05,（石家庄）粮油工业有限公司,花生浓香型调和油,5升/桶,,20150127,4/13/15,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0367)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤12 | 2,≤50 | 未检出,,≤1.0 | 0.2
24,阳光超市鑫域店,植物油,天津,117.2,39.12,粮油（天津）有限公司,元宝牌大豆油,5升/桶,一级,20150321,4/13/15,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0368)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤5.0 | 0.6,不得检出 | 未检出,,≤0.20 | 0.06
25,阳光超市鑫域店,植物油,天津,117.2,39.12,粮油（天津）有限公司,食用调和油,900毫升/桶,,2015.0102,4/13/15,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0369)号,≤0.2 | 未检出,≤0.2 | 未检出,≤0.2 | 未检出,≤0.25 | 0.02,≤50 | 未检出,≤3 | 0.2,